full_name,matric_number,age,gender,program,level,attendance_pct,test_scores,exam_scores,assignment_scores,gpa,study_hours_per_week,lms_activity,past_academic_record,class_participation,extracurricular,performance_score,performance_category,study_bucket,score_composite,engagement_index,academic_consistency,class_participation_enc,extracurricular_enc,gender_enc,level_enc
Emeka Onwudiwe,STU/2019/0001,22,Male,Undergraduate,100,50.8,64.7,53.2,41.1,2.71,11.5,35.9,57.7,Medium,1 Activity,52.1,Average,"(10, 15]",54.2,37.02,0.923,1,1.0,0,1
Abdul Chukwu,STU/2018/0002,19,Male,Undergraduate,500,66.0,73.3,64.9,36.0,3.14,12.0,60.7,79.6,Medium,,61.4,Good,"(10, 15]",60.62,54.15,0.752,1,,0,5
Mary Okeke,STU/2019/0003,28,Male,Undergraduate,100,100.0,81.0,86.5,71.3,2.27,6.8,18.1,68.4,Low,,65.7,Good,"(5, 10]",80.78,41.32,1.164,0,,0,1
Emeka Ofili,STU/2023/0004,26,Female,Undergraduate,300,71.3,53.2,70.2,50.0,3.53,10.9,45.9,55.5,High,2+ Activities,59.6,Average,"(10, 15]",59.2,47.97,1.048,2,2.0,1,3
Yusuf Bello,STU/2022/0005,23,Male,Postgraduate,100,76.4,25.5,57.8,83.5,2.18,0.1,55.7,61.5,Low,1 Activity,43.5,Pass,"(0, 5]",52.92,50.8,0.847,0,1.0,0,1
Usman Bakare,STU/2019/0006,28,Female,Postgraduate,100,44.6,62.8,88.5,36.4,3.02,0.0,12.9,11.1,Medium,,47.8,Pass,,66.48,19.83,5.494,1,,1,1
Lanre Onwudiwe,STU/2021/0007,20,Male,Undergraduate,200,74.7,60.3,72.5,81.4,2.79,19.0,69.8,83.9,Low,,68.7,Good,"(15, 20]",70.46,63.64,0.83,0,,0,2
Ifeoma Onwudiwe,STU/2019/0008,22,Female,Undergraduate,200,100.0,51.8,40.3,79.0,3.55,0.0,56.5,34.9,Medium,2+ Activities,58.4,Average,,54.0,58.25,1.504,1,2.0,1,2
Patience Ibrahim,STU/2022/0009,25,Male,Undergraduate,200,95.2,55.6,94.6,67.0,2.99,17.2,80.3,38.6,Low,,62.9,Good,"(15, 20]",74.05,74.44,1.87,0,,0,2
Nkechi Aliyu,STU/2019/0010,18,Male,Undergraduate,300,61.0,60.6,67.8,29.3,2.82,10.0,100.0,51.2,Low,2+ Activities,51.7,Average,"(5, 10]",55.66,71.63,1.066,0,2.0,0,3
Patience Mohammed,STU/2018/0011,22,Female,Undergraduate,100,64.9,64.5,50.7,35.7,2.28,14.2,65.4,24.1,Medium,1 Activity,47.4,Pass,,51.78,56.9,2.063,1,1.0,1,1
Chidinma Onyekwere,STU/2018/0012,26,Male,Undergraduate,100,51.6,63.8,14.6,69.1,3.03,0.2,53.4,69.4,Medium,,45.9,Pass,"(0, 5]",45.44,42.25,0.645,1,,0,1
Stella Anikulapo,STU/2023/0013,26,Male,Undergraduate,300,56.7,54.1,27.4,61.0,2.77,18.8,14.9,67.2,Medium,1 Activity,42.9,Pass,"(15, 20]",45.14,30.73,0.662,1,1.0,0,3
Sola Fashola,STU/2020/0014,23,Female,Undergraduate,200,37.6,64.9,89.0,77.4,2.22,16.7,64.8,50.3,Low,2+ Activities,66.6,Good,"(15, 20]",77.66,49.25,1.514,0,2.0,1,2
Joy Aliyu,STU/2023/0015,20,Female,Undergraduate,400,70.5,52.9,89.8,63.8,3.14,16.9,69.0,46.4,Medium,1 Activity,64.5,Good,"(15, 20]",70.39,61.28,1.485,1,1.0,1,4
Bello Eze,STU/2020/0016,19,Male,Undergraduate,300,99.2,69.6,56.7,62.4,3.33,23.0,21.1,46.1,Medium,1 Activity,56.2,Average,"(20, 25]",62.64,47.98,1.33,1,1.0,0,3
Emeka Lawal,STU/2021/0017,23,Male,Undergraduate,400,78.4,46.7,19.6,23.8,2.7,14.6,49.0,72.3,Medium,1 Activity,47.9,Pass,"(10, 15]",30.14,52.89,0.411,1,1.0,0,4
