full_name,matric_number,age,gender,program,level,attendance_pct,test_scores,exam_scores,assignment_scores,gpa,study_hours_per_week,lms_activity,past_academic_record,class_participation,extracurricular,performance_score,performance_category
Emeka Onwudiwe,STU/2019/0001,22,Male,Undergraduate,100,50.8,64.7,53.2,41.1,2.71,11.5,35.9,57.7,Medium,1 Activity,52.1,Average
Abdul Chukwu,STU/2018/0002,19,Male,Undergraduate,500,66.0,73.3,64.9,36.0,3.14,12.0,60.7,79.6,Medium,None,61.4,Good
Mary Okeke,STU/2019/0003,28,Male,Undergraduate,100,100.0,81.0,86.5,71.3,2.27,6.8,18.1,68.4,Low,None,65.7,Good
Emeka Ofili,STU/2023/0004,26,Female,Undergraduate,300,71.3,53.2,70.2,50.0,3.53,10.9,45.9,55.5,High,2+ Activities,59.6,Average
Yusuf Bello,STU/2022/0005,23,Male,Postgraduate,100,76.4,25.5,57.8,83.5,2.18,0.1,55.7,61.5,Low,1 Activity,43.5,Pass
Usman Bakare,STU/2019/0006,28,Female,Postgraduate,100,44.6,62.8,88.5,36.4,3.02,0.0,12.9,11.1,Medium,None,47.8,Pass
Lanre Onwudiwe,STU/2021/0007,20,Male,Undergraduate,200,74.7,60.3,72.5,81.4,2.79,19.0,69.8,83.9,Low,None,68.7,Good
Ifeoma Onwudiwe,STU/2019/0008,22,Female,Undergraduate,200,100.0,51.8,40.3,79.0,3.55,0.0,,34.9,Medium,2+ Activities,58.4,Average
Patience Ibrahim,STU/2022/0009,25,Male,Undergraduate,200,95.2,55.6,94.6,67.0,2.99,17.2,80.3,38.6,Low,None,62.9,Good
Nkechi Aliyu,STU/2019/0010,18,Male,Undergraduate,300,61.0,60.6,67.8,29.3,2.82,10.0,100.0,51.2,Low,2+ Activities,51.7,Average
Patience Mohammed,STU/2018/0011,22,Female,Undergraduate,100,64.9,64.5,50.7,35.7,2.28,,65.4,24.1,Medium,1 Activity,47.4,Pass
Chidinma Onyekwere,STU/2018/0012,26,Male,Undergraduate,100,51.6,63.8,14.6,69.1,3.03,0.2,53.4,69.4,Medium,None,45.9,Pass
