name,matric_no,department,course,year,prev_gpa,prev_cgpa,attendance,test_score,assignment,exam_score,total_200,gp_200,new_cgpa,current_class,predicted_grad_class
Adaeze Adeola,250502488,COMPUTER SCIENCE,CHM 201,200 Level,2.25,2.25,3,16,7,59,85,5.0,3.62,Second Class Upper,Second Class Upper
Adaeze Adeyemi,250502744,ICT,MTH 223,200 Level,2.37,2.37,9,6,6,18,39,0.0,1.18,Pass,Fail
Adaeze Adeyemi,250502640,CYBERSECURITY,CHM 207,200 Level,2.93,2.93,3,6,5,35,49,2.0,2.46,Third Class,Third Class
Adaeze Afolabi,250501690,COMPUTER SCIENCE,PHY 205,200 Level,1.96,1.96,0,2,7,31,40,1.0,1.48,Pass,Pass
Adaeze Afolabi,250502549,CYBERSECURITY,CHM 201,200 Level,3.35,3.35,4,4,8,9,25,0.0,1.68,Third Class,Fail
Adaeze Afolabi,250501130,COMPUTER SCIENCE,GST 211,200 Level,2.38,2.38,10,7,7,11,35,0.0,1.19,Pass,Fail
Adaeze Babatunde,250502148,COMPUTER SCIENCE,MTH 223,200 Level,4.33,4.33,9,1,2,51,63,4.0,4.16,Second Class Upper,Second Class Upper
Adaeze Babatunde,250501705,COMPUTER SCIENCE,PHY 205,200 Level,4.95,4.95,0,1,1,5,7,0.0,2.48,Third Class,Fail
Adaeze Bello,250502362,COMPUTER SCIENCE,GST 209,200 Level,3.3,3.3,9,17,2,19,47,2.0,2.65,Second Class Lower,Third Class
Adaeze Bello,250502045,COMPUTER SCIENCE,GST 211,200 Level,3.27,3.27,5,20,2,44,71,5.0,4.14,Second Class Upper,First Class
Adaeze Bello,250501393,COMPUTER SCIENCE,GST 209,200 Level,3.99,3.99,5,0,0,56,61,4.0,4.0,Second Class Upper,Second Class Upper
Adaeze Chukwu,250502726,CYBERSECURITY,CHM 201,200 Level,2.79,2.79,3,19,6,37,65,4.0,3.4,Second Class Lower,Second Class Upper
Adaeze Chukwu,250502716,CYBERSECURITY,MTH 223,200 Level,0.76,0.76,5,13,5,35,58,3.0,1.88,Third Class,Second Class Lower
Adaeze Danladi,250501033,ICT,PHY 201,200 Level,4.77,4.77,9,0,2,33,44,1.0,2.88,Second Class Lower,Third Class
Adaeze Ejike,250501141,ICT,MTH 223,200 Level,1.63,1.63,8,8,1,56,73,5.0,3.32,Second Class Lower,Second Class Upper
Adaeze Ejike,250501092,CYBERSECURITY,MTH 223,200 Level,3.92,3.92,5,17,2,45,69,4.0,3.96,Second Class Upper,Second Class Upper
Adaeze Ejike,250501674,CYBERSECURITY,PHY 201,200 Level,2.35,2.35,9,3,8,14,34,0.0,1.18,Pass,Fail
Adaeze Eze,250502886,COMPUTER SCIENCE,GST 211,200 Level,0.54,0.54,1,14,6,0,21,0.0,0.27,Fail,Fail
Adaeze Fashola,250501829,CYBERSECURITY,GST 211,200 Level,2.53,2.53,8,19,9,33,69,4.0,3.26,Second Class Lower,Second Class Upper
Adaeze Gana,250502532,CYBERSECURITY,MTH 223,200 Level,3.72,3.72,2,2,1,37,42,1.0,2.36,Third Class,Third Class
Adaeze Garba,250502313,ICT,MTH 223,200 Level,4.18,4.18,10,17,9,38,74,5.0,4.59,First Class,First Class
Adaeze Hassan,250502876,COMPUTER SCIENCE,MTH 223,200 Level,3.16,3.16,10,16,6,14,46,2.0,2.58,Second Class Lower,Third Class
Adaeze Hassan,250502608,ICT,MTH 223,200 Level,1.55,1.55,0,16,6,56,78,5.0,3.28,Second Class Lower,Second Class Upper
Adaeze Hassan,250501874,CYBERSECURITY,CSC 201,200 Level,0.61,0.61,4,6,5,39,54,3.0,1.8,Third Class,Second Class Lower
Adaeze Ikenna,250501177,COMPUTER SCIENCE,CHM 207,200 Level,2.24,2.24,6,12,4,28,50,3.0,2.62,Second Class Lower,Second Class Lower
Adaeze Ikenna,250502379,COMPUTER SCIENCE,CSC 201,200 Level,3.17,3.17,10,8,1,27,46,2.0,2.58,Second Class Lower,Third Class
Adaeze James,250502194,ICT,CSC 201,200 Level,0.71,0.71,0,2,2,34,38,0.0,0.36,Fail,Fail
Adaeze James,250502309,CYBERSECURITY,MTH 201,200 Level,4.17,4.17,0,10,5,25,40,1.0,2.58,Second Class Lower,Third Class
Adaeze James,250501488,ICT,GST 211,200 Level,4.78,4.78,6,1,10,55,72,5.0,4.89,First Class,First Class
Adaeze Lawal,250502171,CYBERSECURITY,MTH 223,200 Level,4.92,4.92,0,18,5,45,68,4.0,4.46,Second Class Upper,Second Class Upper
Adaeze Lawal,250501524,ICT,GST 211,200 Level,4.27,4.27,9,3,0,5,17,0.0,2.13,Third Class,Fail
Adaeze Lawal,250502613,ICT,CSC 201,200 Level,1.96,1.96,1,3,4,46,54,3.0,2.48,Third Class,Second Class Lower
Adaeze Madu,250501991,ICT,MTH 223,200 Level,3.63,3.63,6,16,1,50,73,5.0,4.31,Second Class Upper,First Class
Adaeze Madu,250501943,COMPUTER SCIENCE,CHM 207,200 Level,4.23,4.23,5,11,10,23,49,2.0,3.12,Second Class Lower,Third Class
Adaeze Madu,250501603,COMPUTER SCIENCE,GST 211,200 Level,0.9,0.9,0,11,2,54,67,4.0,2.45,Third Class,Second Class Lower
Adaeze Musa,250501895,CYBERSECURITY,MTH 223,200 Level,1.42,1.42,8,13,6,8,35,0.0,0.71,Fail,Fail
Adaeze Nwachukwu,250501838,COMPUTER SCIENCE,PHY 205,200 Level,3.11,3.11,7,14,6,39,66,4.0,3.56,Second Class Upper,Second Class Upper
Adaeze Nwachukwu,250502662,ICT,PHY 201,200 Level,4.64,4.64,4,4,7,54,69,4.0,4.32,Second Class Upper,Second Class Upper
Adaeze Nwachukwu,250502992,ICT,GST 209,200 Level,3.25,3.25,4,20,4,31,59,3.0,3.12,Second Class Lower,Second Class Lower
Adaeze Nwosu,250502429,ICT,PHY 201,200 Level,4.41,4.41,4,7,6,60,77,5.0,4.7,First Class,First Class
Adaeze Nwosu,250501264,CYBERSECURITY,CHM 207,200 Level,4.45,4.45,8,19,10,32,69,4.0,4.22,Second Class Upper,Second Class Upper
Adaeze Nwosu,250502026,ICT,GST 211,200 Level,4.38,4.38,9,14,3,1,27,0.0,2.19,Third Class,Fail
Adaeze Obi,250502183,COMPUTER SCIENCE,MTH 201,200 Level,4.69,4.69,9,7,8,28,52,3.0,3.84,Second Class Upper,Second Class Lower
Adaeze Obi,250501117,COMPUTER SCIENCE,MTH 201,200 Level,1.34,1.34,8,3,3,3,17,0.0,0.67,Fail,Fail
Adaeze Obi,250502192,CYBERSECURITY,MTH 201,200 Level,2.06,2.06,4,15,9,26,54,3.0,2.53,Second Class Lower,Second Class Lower
Adaeze Obi,250502619,ICT,PHY 205,200 Level,3.79,3.79,10,6,3,5,24,0.0,1.9,Third Class,Fail
Adaeze Okafor,250502350,CYBERSECURITY,MTH 201,200 Level,4.4,4.4,0,5,3,20,28,0.0,2.2,Third Class,Fail
Adaeze Okafor,250502265,ICT,CSC 201,200 Level,0.83,0.83,6,17,10,47,80,5.0,2.92,Second Class Lower,Second Class Upper
Adaeze Okafor,250501471,ICT,GST 211,200 Level,4.86,4.86,0,15,5,2,22,0.0,2.43,Third Class,Fail
Adaeze Okonkwo,250501328,COMPUTER SCIENCE,GST 209,200 Level,2.39,2.39,7,3,7,21,38,0.0,1.2,Pass,Fail
Adaeze Okonkwo,250501685,ICT,CHM 201,200 Level,3.01,3.01,10,9,4,12,35,0.0,1.5,Third Class,Fail
Adaeze Okoro,250502435,COMPUTER SCIENCE,PHY 201,200 Level,0.63,0.63,3,10,6,40,59,3.0,1.82,Third Class,Second Class Lower
Adaeze Peters,250501546,COMPUTER SCIENCE,GST 211,200 Level,1.01,1.01,7,12,5,32,56,3.0,2.0,Third Class,Second Class Lower
Adaeze Peters,250502659,ICT,GST 211,200 Level,2.51,2.51,2,17,7,32,58,3.0,2.76,Second Class Lower,Second Class Lower
Adaeze Raji,250502474,ICT,MTH 201,200 Level,1.97,1.97,7,14,1,26,48,2.0,1.98,Third Class,Third Class
Adaeze Raji,250501763,COMPUTER SCIENCE,CHM 201,200 Level,3.85,3.85,2,20,5,19,46,2.0,2.92,Second Class Lower,Third Class
Adaeze Salisu,250502068,COMPUTER SCIENCE,GST 209,200 Level,2.1,2.1,4,3,0,26,33,0.0,1.05,Pass,Fail
Adaeze Salisu,250502531,ICT,CSC 201,200 Level,3.25,3.25,3,3,5,36,47,2.0,2.62,Second Class Lower,Third Class
Adaeze Salisu,250501581,CYBERSECURITY,GST 211,200 Level,4.91,4.91,10,15,9,41,75,5.0,4.96,First Class,First Class
Adaeze Salisu,250502558,ICT,CHM 201,200 Level,4.28,4.28,0,14,7,12,33,0.0,2.14,Third Class,Fail
Adaeze Salisu,250502451,ICT,GST 209,200 Level,3.28,3.28,9,6,9,40,64,4.0,3.64,Second Class Upper,Second Class Upper
Adaeze Salisu,250502535,CYBERSECURITY,CSC 201,200 Level,1.05,1.05,3,7,9,38,57,3.0,2.02,Third Class,Second Class Lower
Adaeze Salisu,250502611,CYBERSECURITY,MTH 201,200 Level,3.43,3.43,4,15,6,7,32,0.0,1.72,Third Class,Fail
Adaeze Usman,250501671,ICT,PHY 205,200 Level,4.54,4.54,0,10,6,0,16,0.0,2.27,Third Class,Fail
Adaeze Usman,250502326,COMPUTER SCIENCE,GST 211,200 Level,1.32,1.32,7,6,8,57,78,5.0,3.16,Second Class Lower,Second Class Upper
Adaeze Usman,250501955,ICT,GST 211,200 Level,2.22,2.22,5,12,0,57,74,5.0,3.61,Second Class Upper,Second Class Upper
Adaeze Usman,250502508,COMPUTER SCIENCE,CHM 201,200 Level,3.24,3.24,3,5,4,9,21,0.0,1.62,Third Class,Fail
Amaka Adeola,250502292,CYBERSECURITY,CHM 207,200 Level,3.05,3.05,4,15,8,43,70,5.0,4.03,Second Class Upper,First Class
Amaka Adeyemi,250501502,COMPUTER SCIENCE,MTH 201,200 Level,1.89,1.89,10,11,2,33,56,3.0,2.44,Third Class,Second Class Lower
Amaka Afolabi,250501250,ICT,PHY 201,200 Level,1.83,1.83,2,10,9,20,41,1.0,1.42,Pass,Pass
Amaka Afolabi,250502653,CYBERSECURITY,PHY 205,200 Level,2.12,2.12,9,15,5,16,45,2.0,2.06,Third Class,Third Class
Amaka Bello,250502924,CYBERSECURITY,PHY 205,200 Level,4.07,4.07,4,5,6,20,35,0.0,2.04,Third Class,Fail
Amaka Bello,250502824,COMPUTER SCIENCE,MTH 223,200 Level,3.4,3.4,5,8,0,42,55,3.0,3.2,Second Class Lower,Second Class Lower
Amaka Bello,250502276,ICT,MTH 223,200 Level,1.59,1.59,8,8,2,20,38,0.0,0.8,Fail,Fail
Amaka Chukwu,250501228,CYBERSECURITY,CHM 207,200 Level,4.51,4.51,6,16,6,54,82,5.0,4.76,First Class,First Class
Amaka Danladi,250501997,ICT,GST 209,200 Level,1.12,1.12,0,19,5,14,38,0.0,0.56,Fail,Fail
Amaka Danladi,250501646,CYBERSECURITY,PHY 205,200 Level,3.17,3.17,4,18,5,0,27,0.0,1.58,Third Class,Fail
Amaka Danladi,250501637,CYBERSECURITY,CHM 207,200 Level,1.59,1.59,1,6,4,37,48,2.0,1.8,Third Class,Third Class
Amaka Dikko,250501773,CYBERSECURITY,CHM 207,200 Level,2.29,2.29,1,16,2,45,64,4.0,3.14,Second Class Lower,Second Class Upper
Amaka Dikko,250502030,COMPUTER SCIENCE,PHY 201,200 Level,0.67,0.67,9,13,9,7,38,0.0,0.34,Fail,Fail
Amaka Ejike,250502551,ICT,PHY 201,200 Level,3.21,3.21,3,16,3,16,38,0.0,1.6,Third Class,Fail
Amaka Ejike,250502185,CYBERSECURITY,PHY 205,200 Level,4.72,4.72,3,14,4,46,67,4.0,4.36,Second Class Upper,Second Class Upper
Amaka Fashola,250501332,ICT,CHM 207,200 Level,0.56,0.56,8,8,6,60,82,5.0,2.78,Second Class Lower,Second Class Upper
